X,Y,OBJECTID,PORTFOLIO_MANAGER_ID,STREET_ADDRESS,PROPERTY_NAME,PHILADELPHIA_BUILDING_ID,POSTAL_CODE,NUM_OF_BUILDINGS,YEAR_BUILT,PRIMARY_PROP_TYPE_EPA_CALC,TOTAL_FLOOR_AREA_BLD_PK_FT2,ELECTRICITY_USE_KBTU,NATURAL_GAS_USE_KBTU,FUEL_OIL_02_USE_KBTU,STEAM_USE_KBTU,ENERGY_STAR_SCORE,SITE_EUI_KBTUFT2,SOURCE_EUI_KBTUFT2,WATER_USE_ALL_KGAL,WATER_SCORE,TOTAL_GHG_EMISSIONS_MTCO2E,NOTES,X_COORD,Y_COORD
-75.1582483299999,39.9482361,11,3641704,1000-28 WALNUT ST,Martin Building,881008255,19107,1,1959,Residence Hall/Dormitory,81525,3378297.288,,,3481704.2,51,84.1,167.4,1441.5,,573.4,,-75.15824833,39.9482361
-75.1582483299999,39.9482361,12,3642562,1000-28 WALNUT ST,Scott Memorial Library,881008255,19107-5587,1,1976,Library,111970,8975825.568,,,2877540,,105.9,255.4,3370.7,,1100.4,,-75.15824833,39.9482361
-75.15793701,39.9497171800001,13,3641702,1000-32 CHESTNUT ST,Foerderer Pavilion,771020000,19107-4998,1,1954,Hospital (General Medical & Surgical),233930,25990299.25,2770.199987,,34506598.7,47,258.6,488.6,13741.7,,4924.4,,-75.15793701,39.94971718
-75.15793701,39.9497171800001,14,3635424,1000-32 CHESTNUT ST,Gibbon Building,771013000,19107-5098,1,1978,Hospital (General Medical & Surgical),778752,108500235.2,329961.5851,,97671344.1,30,265.2,541.4,48881.5,,17495.1,,-75.15793701,39.94971718
-75.00910229,40.1209516800001,15,3330981,1001 BYBERRY RD,Comly,786057000,19116,1,1928,K-12 School,70200,992369.2816,5195138.929,,,13,88.1,117.3,952.6,,370.9,,-75.00910229,40.12095168
-75.0862520699999,40.0415233900001,16,3330951,1001 DEVEREAUX AVE,Carnell,786517600,19111,1,1931,K-12 School,74885,975904.3344,410839.6317,1957668.4,,78,44.7,68.7,798.3,,266,,-75.08625207,40.04152339
-75.1106262,39.99959482,17,11698404,1001 E ONTARIO ST,3401 Makeshift LLC,884107401,19134,1,2013,Office,109842,3696199.128,2593784.581,,,81,57.3,119,734.9,,491.5,,-75.1106262,39.99959482
-75.1720539299999,39.8957015900001,18,4175568,1001 INTREPID AVE,3132B-Courtyard Philadelphia South,883741600,19107,1,2014,Hotel,107000,5140894.52,4823199.955,,,49,93.1,181.9,3395,,777,,-75.17205393,39.89570159
-75.1583586899999,39.9477405600001,19,3643275,1001 LOCUST ST,Hamilton Building,771016000,19107,1,2007,Office,145375,8759166.98,,,8053530,55,115.7,235.4,3284.7,,1422.1,,-75.15835869,39.94774056
-75.14483833,40.01363228,20,3773988,1001 W LUZERNE ST,Little Flower Catholic High School,777247000,19140,2,1939,K-12 School,184000,1778066.899,836147.7411,3381827.9,,97,32.6,50.4,2177.8,,465.6,,-75.14483833,40.01363228
-75.15443175,39.9644492900001,21,6066890,1001-11 WALLACE ST,Tucker House Nursing & Rehab,881444100,19123,1,1978,Senior Care Community,70299,5980505.832,3066400.319,,,28,128.7,284,11861.1,,735.3,,-75.15443175,39.96444929
-75.15730631,39.95039877,22,6437257,1001-13 CHESTNUT ST,Victory,888110586,19107,2,1873,Multifamily Housing,98656,5974548.48,,,,5,60.6,169.6,4890.3,29,571.8,,-75.15730631,39.95039877
-75.13993454,39.9665389400001,23,4124779,1001-13 N 02ND ST,Erbe,881006630,19123,1,2009,Multifamily Housing,134673,12526840.68,3867829.465,,,,121.7,290.6,2446.9,90,1474.6,,-75.13993454,39.96653894
-75.14469388,39.96949812,24,3751822,1001-19 N 05TH ST,St. Peter the Apostle Parish,771211200,19123,3,1843,Mixed Use Property,85426,24984.7112,0,,,,0.3,0.8,208.7,,2.4,Possible Errors,-75.14469388,39.96949812
-75.15809633,39.9489702600001,25,3635906,1001-41 WALNUT ST,Main Building,771020000,19107-5244,1,1906,Hospital (General Medical & Surgical),169807,13322167.65,4617.000025,,14218152.4,96,162.2,320.4,11439.1,,2294,,-75.15809633,39.94897026
-75.15809633,39.9489702600001,26,3642349,1001-41 WALNUT ST,Curtis Building,771020000,19107-5099,1,1928,Office,136566,7875052.952,6566.399926,,14256360,21,162.1,287.1,7042.9,,1744.8,,-75.15809633,39.94897026
-75.15809633,39.9489702600001,27,3641868,1001-41 WALNUT ST,College Building,771020000,19107-4083,1,1928,Office,191783,17406393.06,99829.79526,,17143451.7,9,180.7,362.2,4785.3,,2907.1,,-75.15809633,39.94897026
-75.15809633,39.9489702600001,28,3632497,1001-41 WALNUT ST,Thompson Building,771020000,19107-5004,1,1925,Hospital (General Medical & Surgical),171219,14294836.72,146102.3984,,15869332.2,93,177,346.2,,,2509.7,,-75.15809633,39.94897026
-75.13233432,39.96415074,29,3679279,1001-99 N DELAWARE AVE,SugarHouse Casino,882028210,19125,1,2010,Other,754800,77227515.08,15160603.33,,,,122.4,307.6,7527,,8629.3,,-75.13233432,39.96415074
-75.16978354,39.9557261,30,1485534,100-20 N 18TH ST,154-TWO LOGAN SQUARE,883061805,19103,1,1988,Office,808040,57130562.12,,,,83,70.7,198,14706.8,,5788,,-75.16978354,39.9557261
-75.14057571,39.9666803800001,31,6333603,1002-20 N 2ND ST,1002 N 2nd St,881006622,19123,1,2017,Multifamily Housing,73000,1953312.678,,,,79,26.8,74.9,1425.4,70,197.9,,-75.14057571,39.96668038
-75.1562268499999,39.9557378900001,32,6816236,1003-15 RACE ST,1011 Race St,881014605,19107,1,1980,Multifamily Housing,50100,42380.452,1298591.89,,,100,26.8,29.6,3174.3,17,73,,-75.15622685,39.95573789
-75.18554699,40.07426788,33,5018938,1006 IVY HILL RD,Laverock Apt.,881155012,19150,1,2007,Multifamily Housing,83286,1932556.8,820322.202,,,79,33.1,75.3,3090.4,32,239.4,,-75.18554699,40.07426788
-75.03518545,40.11027682,34,3787453,10060-72 SANDMEYER LA,F P Woll & Company,884237500,19116,1,1978,Manufacturing/Industrial Plant,52172,532696.1116,915818.5301,,,,27.8,47,133.6,,102.6,,-75.03518545,40.11027682
-75.1483102299999,39.9935278200001,35,3569581,1007 W LEHIGH AVE,1007-15 W. LEHIGH AVENUE,881134805,19133,1,1940,Residence Hall/Dormitory,60000,1024887.689,864828.6262,,,96,31.5,63,769.6,,149.8,,-75.14831023,39.99352782
-75.15863031,39.9458913400001,36,4992137,1008-20 SPRUCE ST,Strickland Condos,888052314,19107,7,1815,Multifamily Housing,79733,2018317.42,4300273.355,,,42,79.2,127.5,2246.4,89,432.9,,-75.15863031,39.94589134
-75.15849345,39.94713175,37,3643201,1008-34 LOCUST ST,Jefferson Alumni Hall,771016500,19107-6799,1,1968,Laboratory,455711,55579466.92,,,78558038.3,,294.3,548.9,37438.5,,10847,,-75.15849345,39.94713175
-75.1204053599999,40.03578794,38,3875831,101 E OLNEY AVE,Front and Olney,883382000,19120,1,1980,Office,70494,4458310.272,,,,44,63.2,177.1,2059.1,,426.7,,-75.12040536,40.03578794
-75.18861004,39.9579479500001,39,3762572,101 N 33RD ST,"55,55A,55B,55C-Academic/DesignAnnex/MathForum/Police Station",774551000,19104,4,1926,College/University,117168,5743272.884,605190.737,,7508715.4,,118.4,220,1578.2,,1112.6,,-75.18861004,39.95794795
-75.19000492,39.95805059,40,5002154,101 N 34TH ST,"20,22-Calhoun & Towers Hall",881810301,19104,2,1972,Residence Hall/Dormitory,217153,12235189.75,498358.6242,,,,58.6,160.2,3895.8,,1266,,-75.19000492,39.95805059
-75.1479714399999,39.95084832,41,2669173,101 N INDEPENDENCE E ML,140399 Plaza,883014510,19106,1,1972,Office,470615,51357799.32,358927.9952,,29799137.1,29,173.9,383.3,15205.7,,7225.7,,-75.14797144,39.95084832
-75.13960314,39.9657213500001,42,5074243,1010 N HANCOCK ST,Montesino,881006605,19123,1,2009,Multifamily Housing,83925,3404531.132,,,,36,40.6,113.6,1369,,344.9,,-75.13960314,39.96572135
-75.15648558,39.95514935,43,4900860,1010 RACE ST,(PA2492) - Bentwood Condos,888071554,19107,1,1916,Multifamily Housing,55620,2748707.2,2127308.63,,,41,83.2,169.4,,,391.5,,-75.15648558,39.95514935
-75.02546297,40.1021061100001,44,11217425,10101 NORTHEAST BLVD,Lion's Gate Apartments (Red Lion Manor),881202510,19116,10,1965,Multifamily Housing,82608,1889326.76,4075477.081,,,62,72.2,115.8,5937.6,28,397.3,,-75.02546297,40.10210611
-75.02236685,40.10093808,45,5013797,10102 JAMISON AVE,Rieder House aka Center Park House,881202600,19116,1,1989,Multifamily Housing,58765,1495157.848,2810528.598,,,63,73.3,121.5,2112.6,65,300.8,,-75.02236685,40.10093808
-75.1627804999999,39.95464694,46,6203740,101-09 N BROAD ST,Aloft Philadelphia Downtown,883704850,19107,1,1926,Hotel,101386,5990854.428,1560256.42,,,60,74.5,181.6,3890.5,,689.8,,-75.1627805,39.95464694
-75.14192222,39.95201825,47,4905495,101-11 ARCH ST,Smythe Stores Condominiums,888053613,19106,1,1900,Multifamily Housing,61918,1824092.732,,,,93,29.5,82.5,1519.6,87,184.8,,-75.14192222,39.95201825
-75.16279069,39.9501396200001,48,3579262,101-13 S JUNIPER ST,164-JUNIPER STREET PARKING GARAGE,883404500,19103,1,2007,Parking,56997,263225.9052,,,,,4.6,12.9,0,,26.7,,-75.16279069,39.95013962
-75.15765332,39.95044417,49,3890983,1015-19 CHESTNUT ST,1015 Chestnut Street,883310000,19107,1,1940,Office,135000,5913900.18,,,649536.1,77,48.6,128.4,183.4,,609.1,,-75.15765332,39.95044417
-75.0246907699999,40.10641567,50,3498649,10153-99 BUSTLETON AVE,Washington HS,786056200,19116,1,1962,K-12 School,346000,4372273.28,16336100.12,,,67,59.9,85,7622.8,,1310.6,,-75.02469077,40.10641567
-75.02284994,40.1042741800001,51,7742072,10195 NORTHEAST BLV,Auroras Encore LLC,884239600,19116,1,1969,Other - Services,50000,312469.9364,,,,,6.2,17.5,406.1,,29.9,,-75.02284994,40.10427418
-75.01172245,40.0987447200001,52,4994315,10200 E ROOSEVELT BLVD,St John Neumann,881448803,19116,1,1973,Senior Care Community,84000,277365.2332,12583043.26,,,65,153.1,166.5,7100.5,,694.9,,-75.01172245,40.09874472
-75.1579560599999,39.9516656800001,53,6383621,1026-44 MARKET ST,1026-44 MARKET ST,882507900,19107-4205,1,1960,K-12 School,89159,4143205.248,326849.7117,,385340,71,54.5,139.2,531.4,,462.7,,-75.15795606,39.95166568
-75.15756484,39.9540572500001,54,5228183,1027-31 ARCH ST,1027 Arch Street Lofts in the Pitcairn Building,888030546,19107,1,2001,Multifamily Housing,106100,3637410.368,747002.6579,,,59,41.3,103.4,3070.4,74,408.2,,-75.15756484,39.95405725
-75.15727466,39.9552355000001,55,3883003,1030-38 RACE ST,Stephen Pang,883430000,19107,1,1985,Parking,108108,3136858.367,2727925.902,,,,54.2,107.7,2706.4,,462.7,,-75.15727466,39.9552355
-75.2125364,39.9724300400001,56,7538114,1030-42 BELMONT AVE,Stephen Smith Tower Apartments,881446550,19104,1,1967,Multifamily Housing,77472,,3458008.254,,,,,,,,,Possible Errors,-75.2125364,39.97243004
-75.24501938,39.9468647900001,57,4124435,1034-42 S 60TH ST,Anderson,783782600,19143,1,1963,K-12 School,68235,889749.2872,149444.8764,12339684.4,,1,196.1,221.5,873.7,,1013.8,,-75.24501938,39.94686479
-74.99801966,40.08395568,58,7739130,10350 DRUMMOND RD,Auroras Encore LLC,884283501,19154,1,1973,Other,99000,11962936.03,,,,,120.8,338.3,692.7,,1145,,-74.99801966,40.08395568
-75.1341392099999,39.9673445400001,59,4989748,1039-55 FRANKFORD AVE,Frankford Lofts,881006090,19125,1,1930,Multifamily Housing,52000,1215241.804,,,,88,23.4,65.4,,,116.3,,-75.13413921,39.96734454
-74.99680118,40.08568905,60,3687914,10450 DRUMMOND RD,"Arbill Industries, Inc.",884284000,19154,1,1968,Distribution Center,98721,3002.2188,3031149.086,,,92,30.7,32.3,735.8,,161.3,,-74.99680118,40.08568905
-75.27044609,39.8733989,61,6396027, 1 Tinicum Island Road,South Philadelphia Station ZSPH/190 – 1 Tinicum Island Road,NA,19113,1,1996,Non-Refrigerated Warehouse,154048,4394041.84,4678988.393,,,12,58.9,111.8,199,,693.7,,-75.27044609,39.8733989
-75.1404871399999,39.9671528900001,62,5074150, 1030-40 N 2ND ST,Liberties Walk Block 1 & 2,881006640,19123,1,2006,Multifamily Housing,78275,2903772.023,8520000.23,,,1,145.9,218.2,2964.8,50,746.7,,-75.14048714,39.96715289
-75.1842813,39.9440542300001,63,4803449,1 ACADEMY CIR,(PA2459) - Toll Naval Square,888300524,19146,32,2005,Multifamily Housing,878176,11123529.44,3725508.645,,,100,16.9,39.9,,,1324.8,,-75.1842813,39.94405423
-75.2452474,39.8780461000001,64,3351516,1 ARRIVALS RD,33737-Philadelphia Airport,773300001,19153,1,1995,Hotel,284908,19507932.58,17505799.87,,,22,129.9,256.2,16416,,2906.2,,-75.2452474,39.8780461
-75.16630994,39.9058020900001,65,3819941,1 CITIZENS BANK WAY,Citizens Bank Park,788020010,19148,1,2004,Stadium (Open),1250000,76063818.36,63234971.35,,,,111.4,223.5,33906.2,,11064.8,,-75.16630994,39.90580209
-75.2228566799999,40.02471187,66,6022880,1 COTTON ST              ,The Isle,881088800,19127,1,2017,Multifamily Housing,171098,5323286.392,1010032.493,,,69,37,93.3,3076.4,89,593,,-75.22285668,40.02471187
-75.1747364399999,39.89487747,67,1496733,1 CRESCENT DR,L01973 - One Crescent Drive,883813200,19112,1,2005,Office,79034,3954248.688,66669.48024,,,80,50.9,141,1521.5,,382,,-75.17473644,39.89487747
-75.1435347899999,39.94618489,68,9953557,1 DOCK ST,Marriott Old City,883710005,19106,1,1985,Hotel,257000,16123975.8,9893974.256,,,35,101.2,216.1,9909,,2159.1,,-75.14353479,39.94618489
-75.21667464,40.08339886,69,3858184,1 E SUNSET AVE,Norwood-Fontbonne Academy,775537000,19118,7,1920,K-12 School,86394,1535638.499,1997621.973,,,65,40.9,74,943.3,,261.7,,-75.21667464,40.08339886
-75.1673444799999,39.9598804500001,70,6291862,1 FRANKLIN TOWN BLVD,One Franklin Town,881146350,19103,1,1988,Multifamily Housing,521968,14156865.68,4065850.059,,,82,34.9,84.1,15929.8,37,1650.2,,-75.16734448,39.95988045
-75.16349322,39.95116732,71,3820092,1 S BROAD ST,One South Broad,883318500,19107,1,1932,Office,526472,28348520.11,,,9574141.4,65,72,172.6,12295.8,,3349,,-75.16349322,39.95116732
-75.14738147,39.91279466,72,6230332,10 OREGON AVE,Devon Self Storage Oregon,884140610,19148,1,1920,Self-Storage Facility,150000,956423.8616,432774.271,,,,9.3,20.9,209.4,,119.9,,-75.14738147,39.91279466
-75.13778474,39.9196292500001,73,3782718,10 SNYDER AVE,Pier 80 South,884463835,19148,2,1930,Non-Refrigerated Warehouse,410587,1867506.338,,,,,4.5,12.7,0,,189.2,,-75.13778474,39.91962925
-75.12475294,40.0128699700001,74,4830331,100 E HUNTING PARK AVE,Fleet Shop 134,882021300,19124,1,1968,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",59962,2613226.234,7875114.196,,,,174.9,259.9,1581.4,,668.4,,-75.12475294,40.01286997
-75.1292086,39.9898212100001,75,3584304,100 E LEHIGH AVE,Temple Episcopal Hospital,777012002,19124,5,1928,Hospital (General Medical & Surgical),399596,31481783.6,53832399.94,0,,67,213.5,362,18278.2,,5872.4,,-75.1292086,39.98982121
-75.24872157,39.95917774,76,5030078,12 COBBS CREEK PKY,Cobbs Creek Rec Center & Ice Rink,783097300,19139,1,1904,Ice/Curling Rink,66000,3436382.152,1147201.365,,,,69.4,164,719.3,,389.8,,-75.24872157,39.95917774
-75.14058041,39.9527625600001,77,3875677,120 N CHRIS COLUMBUS BLV,Holiday Inn Express Penns Landing,883710500,19106,1,1986,Hotel,87000,3356384.741,2613682.003,,,55,68.6,139.6,4628.5,,478.9,,-75.14058041,39.95276256
-75.1727326,39.89413389,78,4489731,1200 INTREPID AVE        ,L02504 - 1200 Intrepid Ave,883813500,19112,1,2015,Office,96847,3403945.974,462348.4538,,,78,39.9,103.4,666.8,,350.4,,-75.1727326,39.89413389
-75.16031548,39.9514122100001,79,1946616,1200 MARKET ST,Loews Philadelphia Hotel,883705320,19107,1,1932,Hotel,650000,35833165.2,5508758,,19364507.9,57,93.4,199.1,18531,,5208.7,,-75.16031548,39.95141221
-75.13955298,40.0461532200001,80,3956315,1200 W GODFREY AVE,Salus University,776553600,19141,1,1976,Office,70000,2378978.444,89050.1841,,,91,35.3,96.5,,,232.4,,-75.13955298,40.04615322
-75.0152112499999,40.12154916,81,5013883,12001-09 BUSTLETON AVE,Ephraim Goldstein Apartments aka Shalom/Arbor,881201700,19116,1,1980,Multifamily Housing,209437,7766206.74,4866855.854,,,52,60.3,128.2,10867,30,1045.3,,-75.01521125,40.12154916
-75.1550443099999,39.9776807700001,82,5032264,1200-50 CECIL B MOORE AVE,TEMPLE TOWERS,881299060,19122,1,2000,Other,178596,6494772.708,1802689.927,,3458133.5,,65.8,135.7,11356.8,,983.4,,-75.15504431,39.97768077
-75.15995091,39.95494969,83,3789312,1201 ARCH ST,Exhibit Hall && Train Shed Bldg,781005800,19107,1,1993,Convention Center,1100000,43047088.56,47640871.64,,,,82.4,155,8634.4,,6891.6,,-75.15995091,39.95494969
-75.1605456899999,39.95256605,84,3351512,1201 MARKET ST,33703-Philadelphia,883704500,19107,2,1995,Hotel,1294004,67964242.16,72915799.5,,4797683,46,112.6,210.7,72381,,11077,,-75.16054569,39.95256605
-75.1812012,39.93774712,85,4138565,1201 S 23RD ST,The Landreth,886650200,19146,1,1930,Multifamily Housing,66619,1318141.582,212163.7736,,,95,23,58.7,2486.5,24,137.4,,-75.1812012,39.93774712
-75.1633586,39.93782781,86,4590387,1201-21 WASHINGTON AVE,U-Haul Moving and Storage of South Philadelphia (1201-21),884005170,19147,1,1907,Self-Storage Facility,99140,2134005.033,613320.7712,,,,27.7,66.8,36.6,,248.8,,-75.1633586,39.93782781
-75.13824456,40.0553956,87,3330954,1201-51 OAK LA,Ellwood,785360600,19126,1,1957,K-12 School,55621,624887.6692,163554.2236,13652065.3,,1,259.6,282.4,947.4,,1085.1,,-75.13824456,40.0553956
-75.16568173,40.05627758,88,3330940,1205-11 E TULPEHOCKEN ST,Hill-Freedman,784453800,19138,1,1980,K-12 School,168259,2525502.69,,37490046.3,,1,237.8,267.1,296.4,,3023.8,,-75.16568173,40.05627758
-75.16050338,39.95073233,89,3759390,1207-09 CHESTNUT ST,1207 Chestnut,883311000,19107,1,1925,Office,51676,2886552,146736.6657,,707302.5,43,72.4,175.9,3293.7,,331,,-75.16050338,39.95073233
-75.15444754,39.98059592,90,3966440,1210 W. BERKS,PALEY,777570200,19122,1,2000,College/University,184644,10526958.3,77.00000235,,10588248.4,,188.2,295.8,972.6,,2487.7,,-75.15444754,39.98059592
-75.1409242,40.04649715,91,3681796,1210-16 W GODFREY AVE,Northwest Regional Center,776554000,19141,1,1965,College/University,81018,4112002.508,24365.29332,,,,,,,,,Possible Errors,-75.1409242,40.04649715
-75.1607132199999,39.9507601500001,92,3597401,1211-15 CHESTNUT ST,1211 Chestnut,883311500,19107,1,1919,Office,100572,4771726.356,,,2602703.4,63,73.3,164,1436,,656.2,,-75.16071322,39.95076015
-75.1608435799999,39.95117901,93,3137016,1212 LUDLOW ST,Connelly House,886717500,19107,1,2010,Residence Hall/Dormitory,60000,2591863.019,2306311.969,,,50,81.6,161.3,4410.3,,122.5,,-75.16084358,39.95117901
-75.1612632599999,39.9493551200001,94,6442629,1213-19 WALNUT ST,1213 Walnut,881011115,19107,1,2017,Multifamily Housing,300000,10447516.7,4455308.979,,,64,49.7,113.1,7183,86,1295.1,,-75.16126326,39.94935512
-75.16042951,39.95372473,95,3884289,1216-20 ARCH ST,Young Smyth Field Condominium Association,Multiple,19107,1,1902,Office,125000,4283073.364,,,2264637.6,76,52.4,117.7,1273.2,,560.3,,-75.16042951,39.95372473
-75.16131753,39.9501355200001,96,3859412,1218-22 CHESTNUT ST,Bailey,883019504,19102,1,1950,Office,55784,2218804.493,,,,55,39.8,111.4,815.4,,212.4,,-75.16131753,39.95013552
-75.143894,40.02985649,97,13046499,1220 LINDLEY AVE,Lindley Towers,881150650,19141,1,1938,Multifamily Housing,63728,101438.76,296879.5106,,,,6.3,9.3,4268.4,,25.5,Possible Errors,-75.143894,40.02985649
-75.1574211499999,39.9668488500001,98,11620054,1221 FAIRMOUNT AVE,1221 Fairmount Avenue,"881041752; 881041753",19123,1,1979,Multifamily Housing,119128,3418329.26,5681064.597,,,30,76.4,130.4,5288.4,47,648.1,,-75.15742115,39.96684885
-75.15829927,39.96415181,99,4936671,1221 MOUNT VERNON ST,The Residences at 1221,881068250,19123,1,2015,Multifamily Housing,51000,1205763.609,,,,97,23.6,66.2,1699.3,78,122.2,,-75.15829927,39.96415181
-75.15872273,39.97249457,100,3989968,1221-25 N BROAD ST,Temple,884571850,19122,1,2007,Self-Storage Facility,56873,721529.4984,324687.1252,,,,18.4,41.5,13.3,,90.3,,-75.15872273,39.97249457
-75.15597099,39.9488999600001,101,3641814,122-30 S 09TH ST,Edison Building,771021000,19107-5233,1,1930,Office,244109,11903768.54,102.599987,,9464838,40,87.5,183.2,8910.8,,1834.4,,-75.15597099,39.94889996
-75.1623818799999,39.9464509100001,102,2849421,1224-34 SPRUCE ST,Spruce Residence Hall,881505710,19107,1,1922,Residence Hall/Dormitory,79412,3972912.328,1408670.035,,,,67.8,158.7,4547.7,,477.3,,-75.16238188,39.94645091
-75.1295636199999,40.0062493500001,103,3337468,122-50 W ERIE AVE,Clemente,786125000,19140,1,1994,K-12 School,232815,6131654.02,5869775.82,,,68,51.5,100.2,1293.5,,933,,-75.12956362,40.00624935
-74.98570131,40.1032198500001,104,3879065,12270 TOWNSEND RD,Holts Cigar Company,884292000,19154,1,1970,Refrigerated Warehouse,65347,1988564.098,459657.3054,,,79,37.5,92.6,418.4,,225.9,,-74.98570131,40.10321985
-74.98811255,40.1088657700001,105,6873406,12285 MC NULTY RD,Onyx Glentov,884292538,19154,1,1990,Non-Refrigerated Warehouse,75000,1093081.968,2290999.742,,,95,45.1,72.9,239.4,,232.4,,-74.98811255,40.10886577
-74.98396067,40.11019456,106,4067659,12300 MC NULTY RD,Main Warehouse,884292540,19154,1,1985,Distribution Center,56947,551290.488,1473849,,,63,35.6,54.3,39.6,,134.1,,-74.98396067,40.11019456
-74.97509479,40.0959496400001,107,3954640,12301-75 ACADEMY RD,Parkwood Shopping Center,882078060,19154,5,1964,Strip Mall,73215,6975735.052,5637562.506,,,,172.3,347.6,4934.9,,967.1,,-74.97509479,40.09594964
-75.15863286,39.9729064900001,108,3628711,1231-39 N BROAD ST,Philadelphia Opportunities Industrialization Center,771637000,19121,1,1920,Office,90000,3558200.788,969220.1616,,,61,50.3,122,1599.6,,392,,-75.15863286,39.97290649
-75.15979721,39.94939123,109,5944282,123-27 S 12TH ST,12th & Sansom Parking Garage,883403000,19107,1,1971,Parking,204192,887541.0408,,,,,5.8,16.2,165.3,,89.9,,-75.15979721,39.94939123
-75.14372131,39.9486172100001,110,3946509,123-29 CHESTNUT ST,Corn Exchange,883300500,19123,1,1923,Office,50704,3749098.776,2673054.487,,,13,126.7,262.4,5223.4,,500.8,,-75.14372131,39.94861721
-75.1620795699999,39.94777379,111,6292634,1234 LOCUST ST,102-The Independent Philadelphia,883709100,19107,1,2010,Hotel,19155,1341059.304,1081800.004,,,2,126.5,255.3,3282,,193.3,,-75.16207957,39.94777379
-75.16097658,39.9516616600001,112,2363717,1234 MARKET ST,SEPTA Headquarters,883309050,19107,1,1973,Office,714190,71119557.4,,,16170341.6,53,122.2,306.1,16150.4,,8278.9,,-75.16097658,39.95166166
-75.17008849,39.93488667,113,4123941,1235 S 16TH ST,Barratt New Childs,782673800,19146,1,1928,K-12 School,134000,2520825.862,13913812.53,,,9,122.6,161.7,1849,,994.4,,-75.17008849,39.93488667
-75.1635507299999,39.9496601800001,114,3575688,123-51 S BROAD ST,123 S. Broad,883025620,19109,2,1928,Office,1094000,41033087.32,42309798,,,,76.2,145.6,10142.8,,6404.4,,-75.16355073,39.94966018
-75.15971221,39.95902749,115,4898629,1238 CALLOWHILL ST,(PA2509) - Beaux Arts,888053785,19123,1,1909,Multifamily Housing,93600,3093520.167,,,,61,33.1,92.5,1309.8,71,313.4,,-75.15971221,39.95902749
-74.98123021,40.10797649,116,3569995,12401 MC NULTY RD,Westinghouse Lighting,884292544,19154,1,1988,Distribution Center,229755,3427023.036,7711645.278,,,53,48.5,77,716.6,,756.8,,-74.98123021,40.10797649
