X,Y,OBJECTID,PORTFOLIO_MANAGER_ID,ADDRESS,PROPERTY_NAME,PHILADELPHIA_BUILDING_ID,POSTAL_CODE,NUM_OF_BUILDINGS,YEAR_BUILT,PRIMARY_PROP_TYPE_EPA_CALC,ELECTRIC_USE_KBTU,NATURAL_GAS_USE_KBTU,FUEL_OIL_02_USE_KBTU,STEAM_USE_KBTU,ENERGY_STAR_SCORE,SITE_EUI_KBTUFT2,SOURCE_EUI_KBTUFT2,WATER_USE_ALL_KGAL,TOTAL_GHG_EMISSIONS_MTCO2E,WATER_SCORE,Y_COORD,X_COORD,TOTAL_FLOOR_AREA_BLD_PK_FT2
-75.115589089219,40.0101915839724,11,1273633,4000 G Street,PECO G and Luzerne Service Center,777607000,19124,1,1951,Mixed Use Property,1070141.7,1198353.8,,,,102,191.4,0.1,163,,40.01018351,-75.11558733,22230
-75.1936670219054,39.9565511263379,12,1339876,3535 Market Street,3535 Market,883073000,19104,1,1973,Medical Office,13727209.6,,,3299580.3,100,34.4,85.7,1691.2,1493.7,,39.95654306,-75.19366524,503408
-75.1694203398067,39.9522231691734,13,1440658,30 South 17th Street,Duane Morris Plaza,883051500,19103,1,1975,Office,34677282,,,10873827.5,76,63.4,153.4,8937,3941.9,,39.9522151,-75.16941857,761162
-75.1500209239598,39.9544272382795,14,1452163,190 N. Independence Mall West,American College of Physicians Headquarters,"771523010;771751700",19106,1,1998,Office,10925711.9,5475925.6,,,73,60.7,134.5,1964.1,1305.3,,39.95441917,-75.15001916,322610
-75.1660203704344,39.9530322687981,15,1476210,1515 Market Street,1515 Market Street,883337500,19102,1,1958,Office,27502439.6,21712.3,,11870297.1,53,75.3,174.4,7471.2,3343,,39.9530242,-75.1660186,523500
-75.1938520170096,39.9487941316677,16,1328441,3401 Civic Center Blvd.,The Children's Hospital fo Philadelphia,"773000800, 773001000, 773003070,  773001500,
883209520,883081725,773740500, 773740200, 773513200, 773003030, 773003050",19104,9,1974,Other - Specialty Hospital,604569209.2,629549544.8,423246,3745.9,,194.3,370.6,220579.6,89606.1,,39.94878607,-75.19385024,6353396
-75.1824864016707,39.9573973039841,17,1485471,2929 ARCH STREET,CIRA CENTRE (WO),883062400,19104,1,2005,Office,42525257.3,,,,80,54,151.1,5948.5,3948.6,,39.95738924,-75.18248462,788109
-75.1585098340924,39.9523272482006,18,1467329,1101 Market Street,Jefferson Center,883308700,19107,1,1984,Office,26516818.6,16864620.1,,,82,57.2,121.1,5014.8,3357.9,,39.95231918,-75.15850806,759072
-75.174741506638,39.8948919197491,19,1496733,One Crescent Drive,L01973 - One Crescent Drive,883813200,19112,1,2005,Office,2987985.3,73258.4,,,89,38.7,106.8,540.9,281.3,,39.89488387,-75.17473974,176234
-75.1461579334686,39.9244055882289,20,1547807,1 MIFFLIN ST,PHILADELPHIA SE (1443),882055480,19148,1,2002,Retail Store,6251340.2,3479700.1,,,72,72.1,156.7,2170,765.3,,39.92439753,-75.14615617,268266
-75.1697887456477,39.9557407261604,21,1485534,100 NORTH 18TH STREET,TWO LOGAN SQUARE (WO),883061805,19103,1,1988,Office,47457815.1,,,,,58.7,164.4,8902.1,4406.6,,39.95573266,-75.16978697,808040
-75.1701257891527,39.9564134188869,22,1485500,130 NORTH 18TH STREET,ONE LOGAN SQUARE (WO),883061505,19103,1,1983,Office,39799478.7,18234465.8,,,81,52.2,117.5,5604.5,4664,,39.95640535,-75.17012402,1111787
-75.2123223224868,40.0060985900762,23,1548288,4000 MONUMENT RD,PHILADELPHIA WEST (2124),882150610,19131,1,2007,Retail Store,7646462.6,4120300.2,,,75,73.4,160.6,3427,928.8,,40.00609052,-75.21232053,449031
-75.0893562396335,39.9907914591863,24,1548255,2701 CASTOR AVE,PHILA-BRIDESBURG (2075),882070900,19134,1,2005,Retail Store,6633647.9,2889000,,,77,69.5,157.8,4494,769.4,,39.99078338,-75.08935449,367782
-75.1859066970961,40.0223813381789,25,1567464,3000 West School House Lane,William Penn Charter School,775533000,19144,7,1925,K-12 School,14380402.9,14042166.2,,,59,70.1,135.7,4749.3,2081.1,,40.02237326,-75.18590491,505325
-75.1670872093948,39.953887952403,26,1637817,1617 John F. Kennedy Blvd,One Penn Center,883339500,19103,1,1929,Office,21050105.4,5290282.3,,,88,37.1,90.8,5946.8,2114.9,,39.95387989,-75.16708544,710000
-75.1694253064158,39.9536446109918,27,1750728,1735 MARKET ST OFC,"1735 MARKET STREET - OFFICE, Site # 602850",883053525,19103,1,1990,Office,68724367.5,11200,,,64,50,139.9,9303.5,6393.1,,39.95363655,-75.16942353,1450008
-75.1673940589898,39.952490261661,28,1750750,1600 MARKET ST,"1600 MARKET STREET, Site #602760",883031500,19103,1,1983,Office,26019308.1,12680806.6,,,81,42.4,94.5,6114.7,3089.5,,39.9524822,-75.16739229,921746
-75.1661574827511,39.9521866228526,29,1750694,1500 MARKET ST,Centre Square - 1500 Market Street,883320000,19102,1,1974,Office,68145897,,,42244048.6,67,53.7,117.6,15128.9,9132.5,,39.95217856,-75.16615571,2260778
-75.1680904046656,39.9525748921233,30,1840857,1650 Market Street,One Liberty Place,883031676,19103,1,1987,Office,67570463.2,,,,68,50.6,141.6,6208.9,6281.3,,39.95256683,-75.16808863,1336425
-75.1672730532107,39.953578894096,31,1650661,1600 JFK Blvd,Four Penn Center,883056000,19103,1,1964,Office,19722857.9,,,14640300.4,66,63.3,134.1,4679.4,7960.4,,39.95357083,-75.16727128,543134
-75.1603206416253,39.951426850219,32,1946616,1200 Market Street,Loews Philadelphia Hotel,883705320,19107,1,1932,Hotel,28433407.3,1057058,,15554365.3,80,69.3,153,18031.8,3729.1,,39.95141879,-75.16031887,735000
-75.2274935806505,40.0439923725907,33,1973983,6901 Ridge Avenue,Shop Rite of Roxborough,882117000,19128,1,1990,Supermarket/Grocery Store,8892641,4218885.2,,,67,239.1,534.8,1036.2,1049.8,,40.04398429,-75.22749178,54844
-74.9830965510306,40.1066262456676,34,2215089,2900 Black Lake Place,Elliott-Lewis Corporate HQ,884292573,19154,1,2000,Non-Refrigerated Warehouse,1950692.3,1820181.2,,,44,60.8,118.9,190.8,277.8,,40.10661814,-74.98309483,124000
-75.1471542570146,39.9491137467317,35,1972277,325 Chestnut Street,Constitution Place,883302500,19106,1,1988,Office,10408940.6,4192690.8,,,64,69.3,159.3,5297.7,1189.2,,39.94910568,-75.14715249,210587
-75.2401013415447,39.9033038970806,36,1973980,2946 Island Avenue,Shop Rite of Island Avenue,882090000,19153,1,1995,Supermarket/Grocery Store,10860252.7,7890142.1,,,48,315.1,650.3,1547.8,1427.5,,39.90329584,-75.24009955,59502
-75.1728425476625,39.957032035874,37,2730171,150 North 20th St,10433 Center City,881551176,19103,1,1965,Senior Living Community,5998439.3,3821062,,,34,65.5,138.7,7192.8,759.9,,39.95702397,-75.17284077,156642
-75.1609817478436,39.9516762933592,38,2363717,1234 Market Street,SEPTA Headquarters,883309000,19107,1,1973,Office,71293569.4,15868389.9,,15825980.1,47,144.2,329.5,7527.6,8513.5,,39.95166823,-75.16097998,801840
-75.1473727751192,39.9519067445225,39,2384734,400 Arch Street,Wyndham - Philadelphia Historic District,883711100,19106,1,1970,Hotel,9701278.2,6935576.5,,,85,69.7,144.3,8696,1269.2,,39.95189868,-75.14737101,349688
-75.1623870350726,39.946465532307,40,2849421,1224-34 Spruce Street,Spruce Residence Hall,772508050,19107,1,1922,Residence Hall/Dormitory,3014329,826063.9,,,,48.4,117.2,3441.6,323.8,,39.94645747,-75.16238526,79412
-75.1633427385733,39.9461712644568,41,2851085,311 South Juniper Street,Juniper Residence Hall,772508070,19107,1,1923,Residence Hall/Dormitory,2821081.9,680255.7,,,76,44.2,108.7,4236.6,298.1,,39.9461632,-75.16334097,79233
-75.1940976754477,39.9500281734871,42,2848103,3400 Spruce St,Hospital of the University of Pennsylvania,773009000,19104,9,1913,Hospital (General Medical & Surgical),273380290.2,1935543.6,,318750241.9,4,331.5,642.4,258007.9,46651.5,,39.95002011,-75.19409589,1791804
-75.1646863472165,39.9452552156787,43,2851911,401-11 South Broad Street,Gershman Hall,771637200,19147,1,1923,College/University,1970954.4,3213347,,,,69.1,118.6,701.2,353.7,,39.94524715,-75.16468458,75000
-75.1652975911899,39.9434008412039,44,2887841,601 South Broad Street,Arts Bank,771501000,19147,1,1994,College/University,905546.5,60776.5,,,,38.6,103.9,68.1,87.3,,39.94339278,-75.16529582,25006
-75.166996533156,39.9455576013125,45,2858164,1500-02 Pine Street,Pine Residence Hall,772516000,19102,1,1920,Residence Hall/Dormitory,1534056.4,597718.7,,,79,39.8,91.9,3210.4,174.2,,39.94554954,-75.16699476,53577
-75.1992402229543,39.9585229344784,46,2867268,51 North 39th St,Penn Presbyterian Medical Center,774002001,19104,10,1922,Hospital (General Medical & Surgical),105464169.4,91452110.3,,21813620.8,53,212.8,406.2,38341.1,16098.5,,39.95851487,-75.19923844,1143882
-75.1477737310326,39.9501321537304,47,2990373,400 Market St.,400 Market,883012000,19106,1,1971,Office,8075463.6,5333375.4,,,63,72,151.4,1333.5,1033.1,,39.95012409,-75.14777197,201828
-75.1640190343343,39.9490124660248,48,2917145,201-11 South Broad Street,Terra Hall,772505410,19107,1,1911,College/University,9023173.9,202000.2,,4897059.8,,51.6,114.5,1656.7,1173.7,,39.9490044,-75.16401726,273901
-75.1652179878012,39.9476617107403,49,2858581,250 South Broad Street,Miller Theater,772505500,19102,1,1918,Performing Arts,1757985.9,1211581.6,,,,38.1,79.5,2592.8,227.6,,39.94765365,-75.16521622,77964
-75.1643177985228,39.951288031294,50,3070706,1400 S Penn Sq,"Ritz-Carlton, Philadelphia",883702100,19102,2,1908,Hotel,18391447.7,1149185.1,,16953516.4,35,104.3,208.9,18271.4,8176.8,,39.95127997,-75.16431603,350000
-75.2211533877379,39.9796222525955,51,3091418,5070 Parkside Avenue,Philadelphia Business and Technology Center,883371900,19131,1,1930,Office,6726570.3,6635822.9,,,78,45.2,87.4,1504.3,977,,39.97961418,-75.2211516,295314.6
-75.1703783405137,39.9497977110005,52,3080640,201 S. 18th St.,Rittenhouse Claridge,881027000,19103,1,1951,Multifamily Housing,6083524.3,23985415.5,,,81,69.3,97.4,12259.7,1804,74,39.94978965,-75.17037657,463430
-75.1543326754414,39.9465445184007,53,3107955,251 south 8th st,Hall Mercer at PAH,771004000,19106,1,1980,Medical Office,4045809.7,57.5,,3379053.5,46,104.7,217.1,1009.6,600,,39.94653645,-75.15433091,70902
-75.1826364689023,39.9539254538449,54,3061663,2970 Market Street,Cira Square (T165) (JV),883063100,19104,1,1934,Office,49769991,14019931.5,,,80,68.4,165.3,7187.3,5366,,39.95391739,-75.18263469,1481088
-75.0580918887233,40.049929228677,55,3114250,7400 BUSTLETON AVE,PHILA-COTTMAN (2418),882131101,19152,1,2009,Retail Store,6020668.5,2318399.8,,,81,60.8,140.8,1163,682.2,,40.04992114,-75.05809015,351832
-75.1630637358777,40.0095404279813,56,3111183,2101 W. Venango St,Ray Homes,886650801,19140,1,2011,Multifamily Housing,1074145.7,897251.8,,,,50.3,100.9,3026.8,147.4,9,40.00953235,-75.16306196,39155
-75.1726048902017,39.945057797107,57,3117180,1800 Lombard St,Penn Medicine At Rittenhouse,772032010,19146,1,1980,Hospital (General Medical & Surgical),29970428,525775.5,,16422510.3,53,172.4,383,15093.9,3901.2,,39.94504973,-75.17260312,272165
-75.1608487420404,39.9511936492361,58,3137016,1212 Ludlow St,Connelly House,886717500,19107,1,2010,Residence Hall/Dormitory,2758175.5,1732253.1,,,49,74.8,159,5570.1,410.4,,39.95118558,-75.16084697,60000
-75.1548715120402,39.9547934295984,59,3120916,900 RACE ST,CO/GLC 16200/900 RACE ST/PHILADELPHIA/PA,771618000,19107,1,1905,Other - Technology/Science,66857355.2,,,4840702.9,,146.7,395,7402,6529.3,,39.95478536,-75.15486974,488657
-75.1724538412528,39.9531099785121,60,3216590,1900 Market Street,1900 Market Street (WO),883034000,19103,1,1981,Office,18543998.2,4586687.2,,,81,47.4,116.2,2526.5,1965.5,,39.95310191,-75.17245207,495425
-75.1733787772237,39.9514348449056,61,3155346,1929 Sansom St,Kate's Place,886617500,19103,1,1900,Residence Hall/Dormitory,3106104.6,3165517.9,,,35,104.5,200.3,5197,456.5,,39.95142678,-75.173377,60000
-75.1704603159296,39.952865878889,62,3161456,1800 Market Street,1007 - Sonesta Philadelphia Rittenhouse Square 1800 Market St,883700600,19103,1,1970,Hotel,13756709.7,19284224,,,43,116.3,206.9,17746.9,2301.6,,39.95285781,-75.17045854,414000
-75.1505440278255,39.947281218549,63,3279877,510 Walnut Street,One Washington Square,883006500,19106,1,1932,Office,37739483.7,23323539.6,,,75,55.1,117.4,6066.2,4743,,39.94727315,-75.15054226,1108655
-75.20125135885,39.9354049443923,64,3229069,1550 South Warfield St,PHPA,884124000,19146,1,1962,Non-Refrigerated Warehouse,1636166.6,3750000.2,,,22,91.5,144.7,56,351.1,,39.93539688,-75.20124958,58887
-75.1918014439956,39.9563126562959,65,3325211,3401 Market St.,3401 Market St.,883072000,19104,1,1930,Office,5715953,292580,,2682400.3,24,95.7,215.1,1458.6,724.4,,39.95630459,-75.19179966,90817
-75.1946377185209,39.9557906353758,66,3325356,3600 Market St.,3600 Market St,"883076615; 883076635; 883076640; 883076675; 883076680; 883076685;
883076690; 883076695; 883076700; 883076620; 883076625; 883076630;
883076600; 883076645; 883076650; 883076605; 883076610",19104,1,1930,Office,10955212.1,1595668.4,,,,66.3,170.9,3919.3,1102,,39.95578257,-75.19463594,189262
-75.1925300823477,39.9556380370517,67,3321455,3440 Market St,3440 Market St,883076510,19104,1,1981,Office,8631964.2,695849.7,,,41,79.2,211.3,4832.1,3317.7,,39.95562997,-75.1925283,117848
-75.1732271383891,39.9443717888646,68,3306120,1844 South. St,Tuttleman Building,772036205,19146,1,1989,Medical Office,8429448.4,,,5624333.8,48,188.7,407.9,4488.4,1156.1,,39.94436373,-75.17322536,74460
-75.0567474235633,40.0958279306526,69,3330724,600 SHARON LANE,Greenberg,786010200,19115,1,1965,K-12 School,1509409.4,12988,4243072,,58,64.1,94.7,681.1,447.1,,40.09581983,-75.05674568,90000
-75.1668734255082,39.9948732431858,70,3330734,2100-50 W LEHIGH AVE,Dobbins CTE,785314800,19132,1,1938,K-12 School,6942607.9,13711965.3,,,40,66.1,108.3,723.1,1333.2,,39.99486517,-75.16687165,312395
-75.2199864121959,39.9586741083952,71,3330726,4901 Chestnut St,West Philadelphia New,783094900,19139,1,2011,K-12 School,5639585.6,8617354.3,,,43,83.9,146.1,1170,949,,39.95866604,-75.21998462,170013
-75.2232528135024,40.0490652588725,72,3330742,7100 HENRY AVE,Saul CTE,784190100,19128,1,1980,K-12 School,3096457.9,5703731.1,,,,,,5354.6,,,40.04905718,-75.22325102,104018
-75.1448185621928,40.0390903866608,73,3330743,1400 WEST OLNEY AVE,Girls High,785056600,19141,1,1958,K-12 School,2090352.2,16938253.6,,,43,81.5,101.3,1909.1,1081.8,,40.0390823,-75.14481679,233372
-75.1521471376491,40.0536501549774,74,3330744,6501 LIMEKILN PIKE,Building 21,784226200,19138,1,1915,K-12 School,650720.6,6834242.8,,,22,83.9,100.9,532.8,419.7,,40.05364207,-75.15214536,89200
-75.0247426197459,40.1140205022202,75,3330725,595 TOMLINSON RD,Loesche,786056400,19116,1,1967,K-12 School,1095702.7,3520578.8,,,64,52.5,76.9,953.9,282.5,,40.1140124,-75.02474088,88000
-75.1123550492882,39.992873067671,76,3330738,3116 FRANKFORD AVE,Mastbaum CTE,786145800,19134,1,1929,K-12 School,2986860.4,14263948,,,42,78.1,105.6,525.4,1017.8,,39.99286499,-75.11235329,221000
-75.2375881924764,39.9919983691442,77,3330736,5701 WYNNEFIELD AVE,Gompers,783766600,19131,1,1949,K-12 School,2589190.1,2839063.1,,,,,,1106.7,,,39.9919903,-75.2375864,56000
-75.1508172104305,40.0433262704749,78,3330745,1800 NEDRO AVE,Pennell,785356200,19141,1,1927,K-12 School,1096264.3,1600394.9,2196075.2,,37,69.4,98.8,619.1,343.5,,40.04331819,-75.15081544,70498
-75.1049936561047,40.0421672140362,79,3330749,5735 RISING SUN AVE,Franklin ES,786458400,19120,1,1916,K-12 School,2388154,105537,6672865.8,,16,104.3,154.1,762.8,708.9,,40.04215913,-75.1049919,87870
-75.1230849419295,40.0292008565882,80,3330746,100 W DUNCANNON AVE,Olney HS,785345400,19120,1,1931,K-12 School,6289575,699660,,,88,21,55.2,6719.3,585.1,,40.02919277,-75.12308318,332185
-75.075377200967,40.0305104293419,81,3330753,5935 SAUL ST,Ziegler,786076410,19149,1,1956,K-12 School,1738207.2,3120857.2,,,7,82.3,138,977.1,317.2,,40.03050235,-75.07537545,59025
-75.1185921268512,40.043579058016,82,3330748,6101 N FRONT ST,Finletter,785202400,19120,1,1930,K-12 School,1323137.1,2152159,6603948.8,,1,160.6,201.3,1547.2,719.7,,40.04357097,-75.11859036,62760
-75.0868357297648,40.0148011843866,83,3330751,4500 GRISCOM ST,Marshall J,786487800,19124,1,1909,K-12 School,488105.4,75330,2443234.7,,71,51.4,67,123.1,227.8,,40.0147931,-75.08683398,58450
-75.0373730796117,40.033541301281,84,3330761,7300 COTTAGE ST,Forrest,786039800,19136,1,1928,K-12 School,1797914.5,1445754.9,3831500.8,,6,111.9,164.8,502.9,517.8,,40.03353322,-75.03737134,63250
-75.0697840355773,40.0568301181293,85,3330756,1601 COTTMAN AVE,Northeast,786082200,19111,1,1957,K-12 School,4771791.2,23506568.6,,,33,91.1,122.6,52680.3,1664.3,,40.05682203,-75.06978229,310296
-75.0465939776658,40.0283843482782,86,3330760,6801 COTTAGE ST,Disston,786081400,19135,1,1923,K-12 School,916641.3,202176,3179588.8,,45,63.4,88.3,1399.2,326.6,,40.02837626,-75.04659224,67842
-75.0804891342749,40.0745360186657,87,3330762,700 RHAWN ST,Fox Chase,786455000,19111,1,1949,K-12 School,2030540.2,319204,3324310,,4,108.1,178.6,2321.1,440.6,,40.07452793,-75.08048738,52500
-75.0526179703973,40.0389556920261,88,3330764,3001 PRINCETON AVE,Mayfair,786438600,19149,1,1949,K-12 School,3534279.3,5716510.9,345110.3,,1,133.3,225.7,878.1,637.2,,40.03894761,-75.05261623,72000
-75.0524196731108,40.0665869298039,89,3330767,8300 CASTOR AVE,Farrell,786066400,19152,1,1958,K-12 School,2138412.3,1689429,2957532.9,,5,91.8,145.5,455.6,495.5,,40.06657884,-75.05241793,73882
-75.0659282161337,40.0453829386914,90,3330766,7001 HORROCKS ST.,Solis-Cohen,786543600,19149,1,1948,K-12 School,2470067.2,9305080.3,,,2,129.4,183.4,741.4,709.4,,40.04537485,-75.06592647,91000
-75.0283248760026,40.0598022248234,91,3330769,2850 WELSH RD,Pollock,786569600,19152,1,1962,K-12 School,1391303.1,5202918.9,,,17,90.3,128.2,390.4,397.6,,40.05979413,-75.02832314,73000
-74.9732634578505,40.0949039334141,92,3330770,3500 ACADEMY RD,Decatur,786001800,19154,1,1965,K-12 School,4420317.7,172674,3949614.9,,2,95.7,185.4,1435.1,687.4,,40.09489583,-74.97326174,89247
-75.2054922446916,39.9748605872425,93,3330772,4021 PARKSIDE AVE,School of the Future,783172380,19104,1,2006,K-12 School,9054250.4,7711955.2,,,7,103.4,206.2,1504.2,1198.4,,39.97485252,-75.20549046,162211
-75.0283595670565,40.0885717059759,94,3330768,2000 BOWLER ST,Frank,786309400,19115,1,1961,K-12 School,480563.5,4361418.9,,,75,65,79.5,448.4,273.5,,40.08856361,-75.02835783,74500
-75.2386933220254,39.9574707272387,95,3330775,5800 WALNUT ST,Sayre,783568200,19139,1,1950,K-12 School,3522286.1,8890035.9,,,62,62.1,96,966.9,779.1,,39.95746266,-75.23869153,200000
-75.2398206885755,39.9273032916851,96,3330784,6600 CHESTER AVE,Catharine,783094200,19142,1,1937,K-12 School,684945,4858403.9,,,37,96.4,122.1,429.9,317.7,,39.92729523,-75.2398189,57500
-75.2157773344642,39.9641707613876,97,3330777,4725 FAIRMOUNT AVE,Sulzberger,783707600,19139,1,1924,K-12 School,1191617.5,10647524.2,,,12,98.7,121,399.4,669.4,,39.9641627,-75.21577555,120000
-75.2359469468849,39.9558260400064,98,3330790,5640 SPRUCE ST,Hamilton,783499600,19139,1,1968,K-12 School,1907899,2551008.9,,,62,49.8,89.6,576,301.7,,39.95581798,-75.23594515,89500
-75.2161210930691,39.9409193205105,99,3330786,5001 GREENWAY AVE,Comegys,783183400,19143,1,1911,K-12 School,941592.2,4953163.9,,,26,83.4,110.9,1194.2,345.1,,39.94091126,-75.21611931,70644
-75.20778725548,39.952359150394,100,3330789,4209 SPRUCE ST,Penn Alexander,773151500,19104,1,2002,K-12 School,4690650.4,3908912.9,,,4,101.9,204.3,968.2,616.3,,39.95235109,-75.20778547,84357
-75.2303698817986,39.9473693267135,101,3330791,5300-34 BALTIMORE AVE,Harrington,783029800,19143,1,1926,K-12 School,603796.4,4697945.1,,,23,79.7,99.6,217.2,302.1,,39.94736126,-75.23036809,66500
-75.2268637091686,39.9533413838224,102,3330793,5200 PINE ST,Huey,783732400,19143,1,1963,K-12 School,1081893.7,74875,3595355.4,,54,53.9,76.4,224.3,365,,39.95333332,-75.22686192,88183
-75.2323785370914,39.9409226658608,103,3330795,5700 WILLOWS AVE,Longstreth,783588600,19143,1,1970,K-12 School,2167972.5,2973041.9,,,50,60.2,107.7,513.7,346.8,,39.94091461,-75.23237675,85350
-75.2195949692058,39.9674747562433,104,3330799,4901 PARRISH ST,Rhoads J,783394400,19139,1,1960,K-12 School,820977,1644693.6,4535232.1,,11,100,122.9,946.3,495.4,,39.96746669,-75.21959318,70000
-75.2111065365007,39.9667224735212,105,3330800,766 N 44TH ST,Washington Martha,783691500,19104,1,1930,K-12 School,1064036.3,7252468.3,,,6,116.6,148.6,1506.3,477.9,,39.96671441,-75.21110475,71300
-75.2273343109092,39.9237427303366,106,3330797,2501 S 63rd St,Morton,783130400,19142,1,1972,K-12 School,1744818.3,3716035.7,,,48,62.8,101,2543.9,349.4,,39.92373467,-75.22733252,87000
-75.1948808333066,39.9660532065806,107,3330796,3543 FAIRMOUNT AVE,McMichael,783631400,19104,1,1916,K-12 School,1108169.8,166430,4940579.6,,52,62.2,82.7,479.6,472,,39.96604514,-75.19487905,100000
-75.210201294201,39.9697997917914,108,3330802,4300 WESTMINISTER AVE,Miller,783364400,19104,1,1967,K-12 School,5401619.1,1579180.8,,,2,103.9,249.7,205.6,554.5,,39.96979172,-75.21019951,67200
-75.1687257080999,39.923610176304,109,3330806,2101 SOUTH BROAD ST,South Philadelphia,781022700,19148,1,1956,K-12 School,3435594,16458194.1,,,70,60,81.2,1448.5,1173.5,,39.92360212,-75.16872394,331440
-75.1661710352972,39.9631343565606,110,3330813,1699 SPRING GARDEN ST,Masterman,782513600,19130,1,1933,K-12 School,1520168.1,205173,,,97,16.4,42.6,544.9,143.3,,39.96312629,-75.16616926,105000
-75.1611724129514,39.9636237309202,111,3330807,550 NORTH BROAD ST,Franklin HS,782025600,19130,1,1958,K-12 School,4019141.5,12304681,,,64,67.4,99.8,1113.8,1003.7,,39.96361566,-75.16117064,242293
-75.1654916087242,39.9394352331748,112,3330808,901 S BROAD ST,CAPA,781021910,19147,1,1997,K-12 School,6802275.8,7529565,,,22,86,161.8,2549.5,992.6,,39.93942717,-75.16548984,166630
-75.1627909259359,39.9641696514858,113,3330819,616 N 15TH ST,Franklin Learning Center,782640200,19130,1,1909,K-12 School,1757049,189503,,,100,13,34.1,203.6,163.1,,39.96416158,-75.16278915,150000
-75.1508974571722,39.9238013819469,114,3330814,1900 S 3RD ST,Furness HS,781458200,19148,1,1914,K-12 School,1801276.3,14605301.6,,,28,113.1,140.5,2305.7,932.7,,39.92379332,-75.15089569,145000
-75.163205097037,39.9151992570374,115,3330815,900 W OREGON AVE,Fell,781609400,19148,1,1924,K-12 School,976979.1,5899453.9,,,11,112.7,146.4,799.7,398.5,,39.9151912,-75.16320333,61000
-75.1531838334057,39.9446585465176,116,3330822,325 SOUTH 7TH ST,McCall,781518600,19106,1,1909,K-12 School,1284677.7,5163602,,,15,94.7,132.5,3940.1,386.2,,39.94465048,-75.15318207,68076
-75.1512551551086,39.939571980269,117,3330824,725 SOUTH 5TH ST,Meredith,781485800,19147,1,1930,K-12 School,835636,4152744.9,,,25,90,120.9,286.3,293.4,,39.93956392,-75.15125339,55437
-75.1761510249112,39.9252356655584,118,3330821,1801 SNYDER AVE,Girard,782720400,19145,1,1957,K-12 School,696383.1,91140,3030245.3,,56,57.3,76.6,381.4,290.4,,39.92522761,-75.17614925,66685
-75.163548295724,39.9350326136526,119,3330835,1213 S. 12 ST,Jackson,781092000,19147,1,1925,K-12 School,696757.7,4112034.1,,,35,82.9,108.1,387.8,279.1,,39.93502455,-75.16354653,58000
